#Table1,,,,,
u,g,r,i,z,redshift
18.92958,16.90914,15.78403,15.31554,14.93797,0.131564
20.14917,18.18002,17.10327,16.63312,16.27533,0.1314835
18.49833,17.49403,17.33157,17.28345,17.28941,0.000322833
23.52282,21.63489,20.22888,19.46103,18.93385,0.4362522
19.77243,18.82474,18.48308,18.37886,18.32807,-0.001097078
22.38955,21.45669,19.77309,18.91377,18.4169,0.4593781
22.80758,21.87307,20.14193,19.29097,18.91327,0.4589086
24.45962,22.38025,21.38913,19.08572,17.77075,-0.000419155
23.85511,21.22935,20.64268,20.47201,20.43924,0.000689988
24.95397,21.33602,21.27512,21.47201,21.13384,5.976514E-05
21.95624,21.39609,21.39025,21.29232,20.88751,2.52843
18.23204,16.45568,15.63056,15.19764,14.8788,0.06956718
20.26553,18.68795,17.86213,17.45682,17.18135,0.1692525
20.56007,18.63337,17.4449,16.94807,16.56906,0.1723188
17.92018,17.92471,17.884,17.62558,17.53486,1.770947
19.0146,17.33462,16.45423,16.02605,15.67589,0.08909858
18.81291,17.77027,17.30868,16.95996,16.8011,0.07006504
20.60636,18.67341,17.52522,17.0223,16.64967,0.1606916
21.22193,19.02973,17.7019,17.2113,16.81923,0.1990915
19.74604,18.13457,17.35879,16.93341,16.58214,0.06943162
23.71445,22.04775,20.66068,19.62803,19.40894,0.4397165
21.99798,21.44282,20.29122,19.42446,18.9996,0.6551649
20.44154,18.41016,17.1557,16.58695,16.20269,0.1620485
20.56523,18.81012,18.08654,17.65666,17.65707,-0.000289768
19.82731,18.7566,18.72965,18.73442,18.80002,3.451435E-05
19.23039,18.06944,17.59436,17.23812,17.09449,0.07908808
20.39844,18.52378,17.43358,16.96699,16.63963,0.1469922
20.22425,18.40793,17.45351,17.08015,16.77206,0.1509816
20.10345,18.13531,17.11678,16.68837,16.32755,0.1156843
15.62121,14.60897,14.43487,14.40072,14.45437,0.00010314
23.04378,22.66982,20.86506,19.50344,19.13335,0.6995248
23.43651,23.52899,21.26034,20.04504,19.60213,0.6573341
24.92815,23.03658,21.7761,20.29037,19.96163,0.6612689
26.70181,22.26631,20.65807,19.28302,18.68235,0.6994329
21.89611,20.96346,20.9241,20.9212,20.91583,-0.000104206
24.78871,23.93744,21.96474,20.44219,20.18527,0.690935
26.13286,22.58901,20.94225,19.74992,19.37349,0.6095259
18.90994,17.66969,16.9995,16.62222,16.35383,0.08791664
19.13621,17.95535,17.33129,16.9772,16.74717,0.1425752
18.77788,17.11622,16.37415,15.98126,15.68712,0.03762654
20.70921,18.76193,17.81793,17.44247,17.19914,0.1984903
24.7001,23.00884,20.66207,20.16175,19.92582,4.423676
22.93339,21.88592,21.6771,21.79404,21.59679,3.270135
25.0767,21.78737,20.06876,19.17884,18.74841,0.502197
23.65321,22.44233,21.11407,20.11284,20.03863,0.5297362
19.84033,19.51594,19.37255,19.16098,18.99969,2.020153
20.12329,18.16148,17.08078,16.61149,16.29058,0.1468199
20.93448,18.75148,17.63345,17.13945,16.77727,0.1513117
23.50175,21.36674,20.99526,20.99915,20.78695,0.000786915
24.714,23.82225,21.6445,20.41562,19.82976,0.616466
25.16521,22.4449,20.77481,19.84136,19.27478,0.5160859
23.45507,22.14534,20.33855,19.30632,19.06096,0.5274417
23.49337,21.70318,20.7213,19.93876,20.06265,0.6004967
19.9873,18.03144,16.91412,16.43363,16.04968,0.1495996
20.79746,19.5342,19.12578,18.5041,18.76352,0.000238494
20.95054,18.25921,16.60979,16.08677,15.81086,0.000317844
21.50891,19.2758,17.64073,17.07301,16.76554,0.2505002
26.05908,23.0778,21.20491,19.98856,19.34438,0.6716262
24.75392,22.01439,21.97738,21.99646,21.88306,0.000658942
25.93056,23.2916,21.29496,20.2419,19.93596,0.5992972
23.84224,22.11953,20.37263,19.28803,18.8197,0.5464051
21.69203,21.03588,19.80754,19.05239,18.61434,0.5094512
21.09725,20.56373,20.45456,20.4655,20.16433,2.477882
20.84384,20.33659,20.14796,19.94624,19.67534,2.235993
19.47384,18.02314,17.21636,16.78238,16.43555,0.1155662
20.26587,18.524,17.57492,17.12371,16.78569,0.1414202
22.96832,21.71039,20.57134,19.52124,19.41988,0.6592465
23.95249,23.18082,20.94634,19.70603,19.17489,0.6511251
24.10662,22.54551,20.76295,19.51694,19.04801,0.6707709
23.15999,22.28113,20.85065,19.93256,19.4376,0.6681546
22.34346,21.75834,20.52279,19.28358,18.63704,0.6694642
21.83883,21.15162,20.2396,19.54638,19.45077,0.6085936
25.26775,22.69197,21.11835,20.10156,19.66599,0.6437218
19.72025,18.83261,18.40152,17.97669,17.99357,0.1503116
20.14716,18.15386,17.18282,16.72794,16.35742,0.08923467
19.13015,18.99829,18.69307,18.62844,18.67269,1.244108
23.33811,22.14979,20.69035,19.34542,18.59881,0.6729317
23.95148,22.099,20.41687,19.51156,19.12846,0.4715068
23.70555,22.09713,20.62163,19.59887,19.18196,0.5206023
23.23879,21.95463,20.55077,19.73206,19.27097,0.5189548
21.72999,21.24235,21.22382,21.06829,20.71907,2.208642
24.4109,20.72193,18.77644,18.05102,17.56286,0.401978
24.6069,20.72966,18.84569,18.17436,17.76054,0.3987564
20.06251,19.19747,18.90134,18.77607,18.76794,0.000356882
21.7683,22.19404,21.52559,20.11464,20.05699,0.1975832
17.15698,16.04984,15.6602,15.51096,15.47703,-4.70E-05
22.68285,22.03351,19.71536,18.77532,18.30349,0.415418
22.05047,21.34151,19.50718,18.70599,18.31339,0.4183437
23.07463,22.47589,21.01211,20.00622,19.61919,0.5219583
25.73552,20.96332,19.18235,18.49059,18.12517,0.3336315
23.85701,21.45073,20.4409,19.71142,19.2088,0.5669076
24.85229,22.47213,20.30931,19.91315,19.68272,4.429685
23.59563,21.40927,19.61743,18.86222,18.37988,0.4233354
21.31377,20.86888,20.79239,20.80084,20.64243,2.574797
23.31216,22.70024,20.9947,19.91511,19.44673,0.5937573
23.63515,21.15967,19.29395,18.55216,18.10382,0.4212309
24.40491,22.26764,20.60008,19.73365,19.21976,0.400856
23.10167,21.19893,19.42462,18.66322,18.18821,0.4173104
22.7436,21.6991,20.7662,19.82857,19.29626,0.00024603
22.87682,22.36087,20.89309,20.02732,19.72909,0.5680482
24.33539,22.24389,20.79395,19.7091,19.2012,0.5732167
23.53555,21.50122,19.82397,19.01719,18.58086,0.4180726
22.59359,22.0137,20.62817,19.56859,19.0609,0.6825828
24.95446,22.68097,20.74348,19.46621,19.12522,0.5718392
21.81336,19.92346,18.35382,17.79249,17.5134,0.2922247
19.31942,17.36549,16.37918,15.92805,15.55104,0.09100784
19.61787,18.20142,17.4861,17.0614,16.79649,0.08276038
22.80103,20.77853,19.05457,18.40577,18.05581,0.3474967
22.98091,21.01807,19.12084,18.41234,17.98162,0.4162139
23.28339,22.07878,21.97458,21.84535,22.02046,1.268016
22.07985,21.61625,20.85079,20.01931,19.74935,0.6713991
24.2036,21.72251,20.29147,19.48652,19.02385,0.4979215
25.66372,21.93429,20.26685,19.3333,18.81614,0.4948338
25.30959,21.43526,20.93975,20.7505,20.735,3.188403
23.00615,21.59139,19.89868,18.88829,18.53607,0.519891
24.59803,21.93904,20.28252,19.42766,19.09354,0.4972978
19.76857,19.3799,19.30661,19.19286,19.17759,0.680303
19.53265,18.15082,17.43013,17.02216,16.7586,0.0927506
19.19459,18.31113,18.09644,17.83205,17.75919,0.05310636
18.14094,16.32733,15.41508,14.97462,14.65088,0.07823179
19.47647,17.61476,16.68962,16.23929,15.87438,0.07854678
24.54978,21.3063,20.85704,20.60686,20.55607,3.155023
23.2645,21.93365,20.23416,19.1219,18.60523,0.5458637
25.23423,22.47609,21.11889,20.03794,19.68888,0.5464433
24.43955,21.69076,19.94926,18.959,18.50207,0.515663
25.03259,22.62981,20.63379,19.65092,19.02833,0.5180591
25.26042,21.92332,20.21254,19.24824,18.69764,0.5169521
23.25229,22.07774,20.56985,19.62028,19.02598,0.5918497
24.42298,21.16916,19.39892,18.37478,17.95879,0.5217904
23.58533,22.02949,20.53196,19.62013,19.25184,0.5516686
23.61108,20.79254,19.19408,18.45746,18.00283,0.4133
21.17081,19.99545,19.89898,19.8146,19.70013,0.000127303
19.85168,18.13944,17.2572,16.77544,16.43275,0.1427115
25.19551,21.81718,19.97545,18.88158,18.38077,0.5473948
18.11682,17.77947,17.87333,17.7141,17.67043,0.5148025
24.23993,22.58689,20.63663,19.51291,19.1154,0.6053338
24.7968,22.8088,21.11845,19.72726,19.26384,0.6682316
21.85993,22.10251,20.05434,18.92146,18.37499,0.6810115
22.55548,21.36118,20.23108,19.30227,18.84524,0.5237977
23.46984,21.52344,19.84105,19.0409,18.47441,0.4162436
25.38728,22.89024,21.26694,20.17386,19.70881,0.6165153
25.06385,22.28929,20.4667,19.54453,19.15807,0.4919189
24.99757,22.15141,20.45503,19.54142,19.16854,0.4907785
24.55697,21.89554,20.32307,19.46055,18.91538,0.4926349
20.22682,18.97737,19.13018,19.24162,19.29165,-0.000131808
15.85837,14.6398,14.627,14.65232,14.71224,0.000106044
16.88578,15.99562,15.6586,15.51201,15.47617,1.903297E-07
16.85941,15.83554,15.77641,15.7712,15.82794,0.000129414
17.619,16.61343,16.47639,16.42638,16.43867,0.000308748
23.32655,23.33133,21.72057,20.46466,19.90521,0.6128072
23.79823,23.11962,21.0841,19.94594,19.38755,0.6166018
25.36917,22.68604,21.23761,19.99364,19.55679,0.6161993
23.26309,21.0638,19.42289,18.65779,18.23735,0.3988239
22.74982,22.07137,20.22175,19.20292,18.69202,0.5513964
23.55221,21.45729,21.06469,21.05171,21.00513,3.280613
23.5415,21.73349,21.42154,21.62089,21.4845,3.00755
22.6362,21.94428,20.70501,19.59103,19.13553,0.6137844
22.59118,21.51872,19.543,18.76199,18.35908,0.4173222
25.09492,22.56383,20.87212,19.80913,19.34972,0.5407983
21.99279,19.82109,18.41849,17.75692,17.33751,0.2093993
19.99286,18.52144,17.65719,17.19633,16.91774,0.1471782
22.52925,20.30241,19.47976,18.54583,17.75206,0.000111629
21.02576,18.98988,17.60163,17.09338,16.70566,0.2111117
19.86766,18.03146,17.13666,16.71675,16.40124,0.1147968
